球员名字,所属球队,场次,时间,投篮投中数,投篮出手数,投篮命中率,三分球投中数,三分球出手数,三分球命中率,罚篮投中数,罚篮出手数,罚篮命中率,篮板进攻,篮板防守,篮板总计,助攻,失误,抢断,盖帽,犯规,得分
克林特-卡佩拉,休斯敦火箭,44,23:09,5.4,8.2,65%,0,0,0%,1.3,2.6,50%,2.3,5.1,7.5,0.9,1.2,0.5,1.4,2.7,12
蒙特雷兹-哈雷尔,休斯敦火箭,47,18:58,4,6.2,64.7%,0,0.1,33.3%,1.3,2.1,63.6%,1.5,2.3,3.8,1.2,0.9,0.4,0.7,2.1,9.4
赛迪斯-杨,印第安纳步行者,49,31:05,4.9,9.5,52.2%,0.9,2.3,39.6%,0.7,1.3,57.1%,1.5,4.6,6.1,1.7,1.5,1.8,0.5,1.9,11.5
保罗-乔治,印第安纳步行者,50,35:42,7.8,17.5,44.6%,2.3,6,38.2%,4.4,4.9,91.4%,0.9,5.3,6.2,3.3,2.9,1.5,0.3,2.6,22.3
杰夫-蒂格,印第安纳步行者,57,32:34,5,11.1,44.9%,1,2.8,35.2%,4.4,5.2,85.2%,0.4,3.7,4.2,8.1,2.8,1.4,0.5,2.1,15.4
蒙塔-艾利斯,印第安纳步行者,49,27:09,3.1,7,44.2%,0.5,1.6,30.4%,1.5,1.9,78.7%,0.2,2.6,2.8,3.4,1.8,0.9,0.4,2,8.2
迈尔斯-特纳,印第安纳步行者,56,30:55,5.8,11.2,51.8%,0.6,1.7,36.6%,3.4,4.3,79.7%,1.6,5.6,7.2,1.1,1.4,0.8,2.1,3.3,15.6
CJ-迈尔斯,印第安纳步行者,51,23:04,3.7,8.5,43.4%,2.2,5.2,41.7%,1.1,1.3,87.5%,0.3,2.6,2.9,0.6,0.5,0.6,0.4,2.1,10.6
格伦-罗宾逊三世,印第安纳步行者,55,21:55,2.3,5.1,46.1%,0.7,1.8,38.4%,0.8,1.1,72.1%,0.9,2.8,3.7,0.7,0.6,0.5,0.3,0.9,6.2
阿隆-布鲁克斯,印第安纳步行者,46,14:20,2,4.9,40.7%,0.7,2.2,33.7%,0.5,0.6,79.3%,0.3,0.8,1.1,2.2,1.1,0.5,0.2,1.4,5.2
拉沃伊-阿伦,印第安纳步行者,42,13:59,1.1,2.5,43.9%,0,0,0%,0.3,0.5,65%,1.2,1.6,2.8,0.9,0.4,0.3,0.3,1.2,2.5
艾尔-杰弗森,印第安纳步行者,57,14:35,3.7,7.4,50.6%,0,0,0%,1.1,1.4,77.2%,1.2,3.1,4.3,0.9,0.5,0.3,0.3,1.9,8.5
卢克-理查德-巴莫特,洛杉矶快船,55,22:21,2.3,4.8,48.3%,0.6,1.5,38.3%,0.8,1.2,71.9%,0.7,1.7,2.3,0.4,0.6,1,0.5,1.7,6
雷蒙-菲尔顿,洛杉矶快船,55,22:51,3.2,7.3,44.1%,0.8,2.1,37.3%,0.7,0.8,80%,0.5,2.5,3,2.7,1.1,0.9,0.3,1.9,7.9
奥斯汀-里弗斯,洛杉矶快船,55,28:27,4.5,10.1,44.1%,1.6,4,40.1%,1.7,2.5,68.8%,0.3,1.8,2.1,3,1.6,0.8,0.2,2.4,12.3
贾马尔-克劳福德,洛杉矶快船,57,26:59,4.5,11.2,40.4%,1.4,4.1,34.6%,2.1,2.5,83.6%,0.2,1.5,1.7,2.9,1.8,0.7,0.2,1.4,12.5
JJ-雷迪克,洛杉矶快船,54,28:17,5.2,11.8,43.8%,2.6,6.2,42%,2.1,2.4,88.5%,0.2,2,2.2,1.3,1.3,0.7,0.1,1.6,15.1
德安德鲁-乔丹,洛杉矶快船,57,31:15,4.8,6.9,68.9%,0,0,0%,2.6,5.1,50.5%,3.5,10.2,13.7,1.2,1.5,0.6,1.7,2.6,12.1
韦斯利-约翰逊,洛杉矶快船,50,13:01,1.2,3.3,37.8%,0.5,1.9,27.7%,0.2,0.3,64.7%,0.5,2.7,3.2,0.4,0.3,0.5,0.5,1.4,3.2
马利斯-斯佩茨,洛杉矶快船,57,16:26,3.3,7.3,44.8%,1.4,3.6,39.2%,1.9,2.2,88%,1.1,3.5,4.7,0.9,0.8,0.3,0.5,2.9,9.9
乔丹-克拉克森,洛杉矶湖人,58,27:22,5.5,12.1,45.2%,1.2,3.7,33.2%,1.5,1.9,78.2%,0.7,2.2,2.9,2.1,1.9,1.2,0.1,1.9,13.7
丹吉洛-拉塞尔,洛杉矶湖人,42,26:28,5,12.7,39.2%,2,5.6,34.9%,2.3,2.9,77.2%,0.5,3.2,3.8,4.7,2.6,1.2,0.3,1.9,14.2
罗尔-邓,洛杉矶湖人,54,26:57,3,7.7,38.9%,0.9,3,31.3%,0.9,1.2,73%,1.1,4.2,5.4,1.3,0.8,0.9,0.4,1.1,7.8
朱利叶斯-兰德尔,洛杉矶湖人,50,28:14,5,10.3,48.7%,0.1,0.5,25%,2.7,3.8,71.6%,1.8,6.2,8.1,3.6,2.5,0.7,0.4,3.4,12.9
科里-布鲁尔,洛杉矶湖人,58,15:55,1.6,3.9,41.4%,0.4,1.6,23.4%,0.6,0.8,72.7%,0.4,1.6,2,1.1,0.6,0.7,0.2,1.8,4.2
尼克-杨,洛杉矶湖人,51,26:29,4.7,10.7,44.1%,2.9,7,41.3%,1.4,1.7,84.9%,0.5,1.9,2.4,1.1,0.6,0.6,0.3,2.4,13.8
布兰登-英格拉姆,洛杉矶湖人,58,27:39,2.8,7.7,36.3%,0.7,2.3,30.4%,1.7,2.6,65.5%,0.7,3.3,4.1,1.9,1.3,0.4,0.4,1.9,8
塔里克-布莱克,洛杉矶湖人,46,16:17,2.3,4.5,51.2%,0,0,50%,1.3,1.8,71.8%,2.3,3.2,5.4,0.7,0.9,0.4,0.5,2.8,6
蒂莫菲-莫兹戈夫,洛杉矶湖人,53,20:32,3.1,6.1,51.1%,0,0,0%,1.2,1.4,80.3%,1.9,3,4.9,0.8,1.3,0.3,0.6,2.4,7.4
泰勒-约翰逊 ,迈阿密热火,49,30:44,4.9,11.6,42.5%,1.2,3.5,34.9%,2.7,3.6,76.1%,0.7,3.6,4.3,3.2,1.1,1.2,0.7,2.5,13.8
戈兰-德拉季奇,迈阿密热火,49,34:16,7.4,15.2,48.5%,1.6,3.8,42.6%,3.9,5,78.5%,0.8,3.1,3.9,6.2,3.1,1,0.2,2.8,20.3
詹姆斯-约翰逊,迈阿密热火,52,26:33,4.6,9.4,48.7%,1.2,3.3,35.1%,1.9,2.7,71%,0.9,4.1,4.9,3.3,2.2,0.9,1.1,2.6,12.2
哈桑-怀特塞德,迈阿密热火,52,32:54,7.1,12.7,56.1%,0,0,0%,2.6,4.5,56.8%,3.6,10.5,14.1,0.7,2.1,0.8,2.1,3.1,16.8
罗德尼-麦克格兰德,迈阿密热火,53,26:13,2.4,5.9,39.7%,0.9,2.8,33.6%,0.6,1,65.4%,1.4,2.1,3.5,1.5,0.7,0.7,0.2,1.9,6.3
卢克-巴比特,迈阿密热火,48,15:39,1.6,4.1,38.1%,1.1,2.9,38.7%,0.2,0.3,73.3%,0.2,1.8,2,0.5,0.4,0.3,0.2,1.7,4.5
威利-里德,迈阿密热火,48,14:37,2.2,4,56.3%,0,0.1,33.3%,0.7,1.2,56.7%,1.8,3,4.8,0.4,0.4,0.2,0.7,1.7,5.2
吉亚尼斯-阿德托昆博,密尔沃基雄鹿,54,35:26,8.4,16.1,52.4%,0.7,2.6,27.5%,5.8,7.3,79.2%,1.9,6.8,8.6,5.5,3,1.8,2,3.3,23.4
格雷格-门罗,密尔沃基雄鹿,54,21:48,4.6,8.6,54%,0,0,0%,2.3,3.1,72.6%,2,4.8,6.8,2.1,1.6,1.3,0.5,1.9,11.6
马尔科姆-布罗格顿,密尔沃基雄鹿,55,25:33,3.5,8,43.8%,1,2.3,41.7%,1.5,1.7,85.1%,0.6,2.1,2.7,4.2,1.6,1.2,0.1,1.8,9.4
贾巴里-帕克,密尔沃基雄鹿,51,33:52,7.8,16,49%,1.3,3.5,36.5%,3.2,4.3,74.3%,1.5,4.6,6.2,2.8,1.8,1,0.4,2.2,20.1
马修-德拉维多瓦,密尔沃基雄鹿,50,26:30,2.7,6.9,39.4%,1,2.7,36.6%,1.1,1.4,80.3%,0.3,1.7,2,5.2,1.8,0.8,0,2,7.6
贾森-特里,密尔沃基雄鹿,47,17:06,1.2,3,40.7%,0.9,2.2,41.2%,0.3,0.3,81.3%,0.2,0.9,1.1,1.4,0.4,0.6,0.3,1.3,3.6
约翰-亨森,密尔沃基雄鹿,46,20:12,2.7,5.3,51.2%,0,0,0%,1.5,2.2,70.7%,1.4,3.8,5.2,1.1,1,0.5,1.3,2.6,7
托尼-斯内尔,密尔沃基雄鹿,54,28:32,3,6.5,45.8%,1.8,4.4,40.1%,0.5,0.7,75.7%,0.3,3,3.3,1.2,0.6,0.5,0.2,1.6,8.2
迈克尔-比斯利,密尔沃基雄鹿,47,16:50,3.7,7,53.2%,0.3,0.8,43.2%,1.4,2,71%,0.7,2.8,3.6,1,1.2,0.5,0.5,1.6,9.2
米尔扎-特雷托维奇,密尔沃基雄鹿,46,16:19,2.3,6.2,38.2%,1.6,4.6,34.8%,0.6,0.8,77.8%,0.2,2.2,2.4,0.7,0.7,0.2,0.2,1.6,6.9
里基-卢比奥,明尼苏达森林狼,51,32:05,2.7,7,38.6%,0.7,2.5,28.1%,2.8,3.2,87.2%,0.9,2.9,3.8,8.4,2.4,1.8,0.1,2.5,8.9
戈尔吉-迪昂,明尼苏达森林狼,57,32:00,4.3,8.4,51.4%,0.2,0.5,37.9%,1.4,1.8,78.1%,2.3,5.6,7.9,1.9,1.3,1,1.1,3.2,10.2
安德鲁-威金斯,明尼苏达森林狼,57,37:11,8.6,18.5,46.3%,1.3,3.6,35.5%,4.8,6.3,75.3%,1.2,2.9,4.1,2.5,2.3,0.9,0.4,2.1,23.2
克里斯-邓恩,明尼苏达森林狼,53,16:38,1.4,3.8,36.3%,0.2,0.9,26.5%,0.5,0.9,58%,0.3,1.9,2.2,2.5,1.3,0.9,0.5,2.1,3.6
扎克-拉文,明尼苏达森林狼,47,37:12,6.9,15.1,45.9%,2.6,6.6,38.7%,2.5,3,83.6%,0.4,3,3.4,3,1.8,0.9,0.2,2.2,18.9
卡尔-安东尼-唐斯,明尼苏达森林狼,57,36:28,9.1,17.6,51.6%,1.1,3.4,33.9%,4.4,5.3,82.8%,3.5,8.4,11.8,2.9,2.6,0.7,1.4,3.1,23.7
内曼加-别利卡,明尼苏达森林狼,55,17:13,2.1,5.1,42.1%,0.8,2.7,31.1%,0.7,0.9,74%,0.7,2.6,3.3,1.1,0.9,0.6,0.2,2.3,5.8
科尔-阿尔德里奇,明尼苏达森林狼,51,09:15,0.8,1.5,52.7%,0,0,0%,0.3,0.4,66.7%,0.9,1.9,2.8,0.5,0.3,0.5,0.4,1.6,1.8
沙巴兹-穆罕默德,明尼苏达森林狼,53,19:37,3.4,7.2,47.1%,0.8,1.9,41.4%,1.8,2.3,78.7%,1,1.9,2.9,0.5,0.7,0.3,0.1,1.2,9.4
特雷沃-布克,布鲁克林篮网,51,26:10,4.4,8.3,52.8%,0.3,1.1,26.8%,1.2,1.8,66.7%,2.1,6.4,8.5,2.2,1.9,1.3,0.4,2.2,10.2
朗戴-霍林斯-杰弗森,布鲁克林篮网,52,21:48,2.6,6.2,42.1%,0.2,0.9,21.3%,2.5,3.2,76.2%,0.8,4.3,5.1,2.1,1.5,1,0.5,2.3,7.8
肖恩－基尔帕特里克,布鲁克林篮网,55,25:59,4.5,10.9,41.7%,1.6,4.5,35.1%,2.8,3.4,83.8%,0.3,3.7,4,2.3,2.2,0.7,0.1,1.9,13.5
乔-哈里斯,布鲁克林篮网,48,22:01,3,7,43.2%,1.6,4.2,38.7%,0.7,1,72.3%,0.3,2.6,2.9,1.1,1,0.6,0.1,2.4,8.4
伊塞亚-怀特赫德,布鲁克林篮网,48,21:49,2.7,6.9,38.7%,0.6,1.9,31.5%,1.1,1.3,82.5%,0.3,2.1,2.4,2.9,2,0.6,0.5,2.5,7
布鲁克-洛佩兹,布鲁克林篮网,51,29:35,7.4,15.7,47%,1.8,5.1,34.4%,4.3,5.1,83.5%,1.6,3.6,5.2,2.5,2.4,0.5,1.8,2.6,20.8
贾斯汀-汉密尔顿,布鲁克林篮网,48,19:33,2.7,6.1,45%,0.9,3.1,30.6%,0.5,0.7,71.9%,1.2,3.2,4.5,0.8,0.7,0.5,0.8,1.4,6.9
兰迪-弗耶,布鲁克林篮网,43,18:54,1.8,5,36.7%,1,3,33.8%,0.7,0.9,81.1%,0.2,2.3,2.4,2.1,1.4,0.4,0.2,1.4,5.4
路易斯-斯科拉,布鲁克林篮网,36,12:48,2,4.2,47%,0.5,1.4,34%,0.7,1,67.6%,1.4,2.4,3.9,1,0.9,0.4,0.1,1.8,5.1
布兰登-詹宁斯,纽约尼克斯,57,24:50,2.9,7.5,38.3%,1.2,3.5,34%,1.8,2.3,75.8%,0.4,2.3,2.6,5,1.8,1,0.1,1.5,8.7
考特尼-李,纽约尼克斯,53,31:26,4.1,8.8,46.5%,1.5,3.6,42.3%,0.8,1,84.6%,0.7,2.5,3.3,2.1,0.8,0.9,0.3,1.8,10.5
贾斯汀-霍勒迪,纽约尼克斯,58,19:30,2.6,6.2,41.5%,1.2,3.3,35.8%,1,1.2,81.2%,0.3,2.5,2.8,1.1,0.8,0.8,0.4,1.5,7.3
卡梅隆-安东尼,纽约尼克斯,57,34:08,8.5,19.2,44.1%,2.2,5.8,37.5%,4.2,5.1,82.4%,0.9,5.2,6,3,2.1,0.8,0.5,2.7,23.3
克里斯塔普斯-波尔津吉斯,纽约尼克斯,50,32:42,6.6,14.8,44.7%,1.9,4.9,37.8%,3,3.8,78.4%,1.7,5.4,7.1,1.3,1.8,0.7,2,3.8,18.1
德里克-罗斯,纽约尼克斯,49,32:10,7.2,15.5,46.2%,0.3,1.1,24.1%,3,3.5,86.5%,1.1,2.8,3.9,4.5,2.4,0.7,0.3,1.4,17.6
乔吉姆-诺阿,纽约尼克斯,46,22:03,2.2,4.4,49%,0,0,0%,0.7,1.7,43.6%,3.5,5.2,8.7,2.2,1.3,0.7,0.8,2.8,5
明达格斯-库兹明斯卡斯,纽约尼克斯,48,14:26,2.2,5.2,42%,0.8,2.5,31.7%,0.7,0.9,79.1%,0.7,1.2,1.9,1,0.8,0.5,0.2,1.2,5.9
吉列尔莫-埃尔南戈麦斯,纽约尼克斯,50,15:55,2.8,5.1,53.9%,0.1,0.2,25%,1.1,1.5,73%,2,4,6,1.1,1.2,0.4,0.6,1.7,6.7
凯尔-奥奎因,纽约尼克斯,56,15:20,2.8,5.3,53%,0,0.2,11.1%,0.7,0.9,73.6%,2.1,3.6,5.6,1.2,1,0.4,1.3,2.1,6.4
阿尔弗雷德-佩顿,奥兰多魔术,59,29:01,5.1,11.2,45.8%,0.6,2.2,26.6%,1.6,2.4,65.2%,0.8,3,3.8,5.6,2.1,1.1,0.5,2.2,12.4
特伦斯-罗斯,奥兰多魔术,55,22:32,3.9,9,43.3%,1.8,4.8,37.1%,0.8,1,83%,0.3,2.3,2.6,0.8,0.6,1,0.4,1.5,10.4
伊万-福尼尔,奥兰多魔术,46,33:10,6,13.7,43.4%,1.6,4.8,34.1%,3.3,4,81.2%,0.7,2.6,3.3,3.4,2.3,1,0.1,2.8,16.8
尼科拉-武切维奇,奥兰多魔术,56,28:35,6.2,13.2,47.3%,0.3,0.9,28.8%,1.4,2.2,63.1%,2.2,7.8,10,2.8,1.7,0.9,1,2.4,14.1
阿隆-戈登,奥兰多魔术,57,27:40,4.3,10,42.8%,1,3.4,28.9%,1.6,2.4,64.7%,1.4,3.3,4.7,1.9,1.1,0.7,0.5,2.1,11.1
CJ-沃特森,奥兰多魔术,46,16:49,1.5,3.9,38.9%,0.5,1.6,33.8%,1.1,1.2,86%,0.2,1.3,1.5,1.8,0.8,0.7,0,1.2,4.7
杰夫-格林,奥兰多魔术,57,23:09,3.2,8.2,38.7%,0.8,2.9,27.7%,2.2,2.6,85.8%,0.6,2.5,3.1,1.2,1.1,0.5,0.2,1.4,9.4
DJ-奥古斯汀,奥兰多魔术,58,20:44,2.7,6.9,38.9%,1.4,3.7,36.4%,1.7,2.1,78.2%,0.2,1.3,1.5,3,1.2,0.4,0,1.4,8.4
马里奥-海佐尼亚,奥兰多魔术,42,11:43,1.6,4.3,36.9%,0.6,1.9,33.3%,0.3,0.4,76.5%,0.2,1.4,1.7,0.8,0.9,0.4,0.2,1,4.1
俾斯麦-比永博,奥兰多魔术,58,23:09,2.3,4.2,53.5%,0,0,0%,1.5,3,50%,2,5.3,7.2,1,1.2,0.3,1.3,2.4,6
罗伯特-考文顿,费城76人,50,31:07,4,10.4,38.3%,2,6,32.7%,1.8,2.3,79.1%,1.4,4.7,6.2,1.6,1.9,1.9,0.9,3,11.7
ＴＪ－麦康奈尔,费城76人,55,24:53,2.7,5.9,46.6%,0.1,0.6,21.2%,0.7,0.9,77.6%,0.4,2.6,3,6.1,1.8,1.5,0.1,1.7,6.3
塞尔吉奥-罗德里格兹,费城76人,51,22:41,3.2,8,39.8%,1.4,3.9,37.1%,0.3,0.4,71.4%,0.3,2.1,2.4,5.1,2.1,0.8,0.1,1.4,8.1
达里奥-萨里奇,费城76人,56,24:26,4,10,39.7%,1.3,3.9,32.7%,1.6,2.1,78.4%,1.3,4.6,5.9,1.8,1.9,0.6,0.3,1.7,10.8
杰拉德-亨德森,费城76人,51,24:02,3.5,7.8,45.1%,0.8,2.2,36.9%,1.9,2.2,85.1%,0.4,2.1,2.5,1.7,0.9,0.6,0.2,1.7,9.7
贾斯汀-安德森,费城76人,51,13:54,2.2,5.4,40.2%,0.7,2.4,30.3%,1.4,1.7,79.5%,0.8,2.2,2.9,0.6,0.8,0.5,0.3,1.3,6.5
尼克-斯陶斯卡斯,费城76人,54,27:01,3,7.4,40.5%,1.6,4.2,37.6%,1.4,1.8,81.1%,0.3,2.5,2.8,2.2,1.5,0.5,0.4,1.9,9
蒂莫西-鲁瓦乌,费城76人,43,11:28,1.2,3.1,39.4%,0.3,1,31.1%,1,1.3,76.4%,0.2,1.2,1.4,0.8,0.8,0.2,0.1,1.6,3.7
埃里克-布莱索,菲尼克斯太阳,56,33:14,7,15.9,44.2%,1.6,4.7,33.2%,6,7,85%,0.9,4.1,4.9,6.2,3.3,1.4,0.4,2.6,21.6
TJ-沃伦,菲尼克斯太阳,44,29:02,5.3,11.7,45.7%,0.4,1.7,24.7%,1.7,2.2,78.4%,1.6,2.2,3.9,1,0.8,1.2,0.4,2.7,12.8
德文-布克,菲尼克斯太阳,56,34:30,7.5,17.7,42.5%,1.9,5.1,36.7%,4.2,5.1,82.7%,0.6,2.2,2.8,3.2,2.9,0.9,0.3,3.2,21.1
